Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2016,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.291
2017,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.321
2018,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.35
2019,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.435
2020,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.448
2021,Business R&D expenditure,BEL,Belgium,Information industries (ISIC 26+58-63),Share of GDP,0.452
2005,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.386
2006,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.372
2007,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.357
2008,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.309
2009,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.312
2010,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.282
2011,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.29
2012,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.279
2013,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.261
2014,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.271
2015,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.269
2016,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.331
2017,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.319
2018,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.351
2019,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.373
2020,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.427
2021,Business R&D expenditure,CAN,Canada,Information industries (ISIC 26+58-63),Share of GDP,0.454
2005,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.124
2006,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.136
2007,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.133
2008,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.134
2009,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.13
2010,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.131
2011,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.149
2012,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.166
2013,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.177
2014,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.219
2015,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.213
2016,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.226
2017,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.254
2018,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.287
2019,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.289
2020,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.323
2021,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.356
2022,Business R&D expenditure,CZE,Czechia,Information industries (ISIC 26+58-63),Share of GDP,0.369
2007,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.208
2008,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.245
2009,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.246
2010,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.22
2011,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.228
2012,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.304
2013,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.246
2014,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.206
2015,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.272
2016,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.291
2017,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.262
2018,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.309
2019,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.453
2021,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.489
2022,Business R&D expenditure,EST,Estonia,Information industries (ISIC 26+58-63),Share of GDP,0.487
2005,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.256
2006,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.254
2007,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.264
2008,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.623
2009,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.656
2010,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.594
2011,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.497
2012,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.184
2013,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.143
2014,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,1.093
2015,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.912
2016,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.807
2017,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.803
2018,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.755
2019,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.746
2020,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.834
2021,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.898
2022,Business R&D expenditure,FIN,Finland,Information industries (ISIC 26+58-63),Share of GDP,0.867
2005,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.252
2006,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.264
2007,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.312
2008,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.324
2009,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.336
2010,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.331
2011,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.348
2012,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.377
2013,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.367
2014,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.36
2015,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.348
2016,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.343
2017,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.334
2018,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.346
2019,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.368
2020,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.382
2021,Business R&D expenditure,DEU,Germany,Information industries (ISIC 26+58-63),Share of GDP,0.394
2005,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.037
2006,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.043
2007,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.048
2008,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.043
2009,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.074
2010,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.059
2011,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.072
2012,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.095
2013,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.106
2014,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.111
2015,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.093
2016,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.081
2017,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.097
2018,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.144
2019,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.152
2020,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.186
2021,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.181
2022,Business R&D expenditure,HUN,Hungary,Information industries (ISIC 26+58-63),Share of GDP,0.168
2005,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.732
2006,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.709
2007,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.836
2008,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.694
2009,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.626
2010,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.534
2011,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.635
2012,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.744
2013,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.816
2014,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.903
2015,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,1.98
2016,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,2.298
2017,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,2.385
2018,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,2.448
2019,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,2.961
2020,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,3.458
2021,Business R&D expenditure,ISR,Israel,Information industries (ISIC 26+58-63),Share of GDP,3.489
2005,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.127
2006,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.113
2007,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.134
2008,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.14
2009,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.162
2010,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.162
2011,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.155
2012,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.153
2013,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.16
2014,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.155
2015,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.164
2016,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.146
2017,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.151
2018,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.157
2019,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.165
2020,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.166
2021,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.149
2022,Business R&D expenditure,ITA,Italy,Information industries (ISIC 26+58-63),Share of GDP,0.137
2005,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.101
2006,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.096
2007,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.821
2008,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.826
2009,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.745
2010,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.687
2011,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.745
2012,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.699
2013,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.664
2014,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.689
2015,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.656
2016,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.59
2017,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.592
2018,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.606
2019,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.572
2020,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.604
2021,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.526
2022,Business R&D expenditure,JPN,Japan,Information industries (ISIC 26+58-63),Share of GDP,0.545
2005,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.064
2006,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.075
2007,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.087
2008,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.095
2009,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.103
2010,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.103
2011,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.104
2012,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.118
2013,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.134
2014,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.152
2015,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.171
2016,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.21
2017,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.233
2018,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.283
2019,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.324
2020,Business R&D expenditure,NZL,New Zealand,Information industries (ISIC 26+58-63),Share of GDP,0.343
2005,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.226
2006,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.223
2007,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.239
2008,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.23
2009,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.249
2010,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.238
2011,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.239
2012,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.242
2013,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.249
2014,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.268
2015,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.317
2016,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.353
2017,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.363
2018,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.345
2019,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.381
2020,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.427
2021,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.357
2022,Business R&D expenditure,NOR,Norway,Information industries (ISIC 26+58-63),Share of GDP,0.29
2005,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.022
2006,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.019
2007,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.021
2008,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.023
2009,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.031
2010,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.058
2011,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.068
2012,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.077
2013,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.082
2014,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.093
2015,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.111
2016,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.012
2017,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.172
2018,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.202
2019,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.219
2020,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.276
2021,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.277
2022,Business R&D expenditure,POL,Poland,Information industries (ISIC 26+58-63),Share of GDP,0.313
2005,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.082
2006,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.114
2007,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.145
2008,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.18
2009,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.224
2010,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.195
2011,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.203
2012,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.177
2013,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.155
2014,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.129
2015,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.119
2016,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.134
2017,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.151
2018,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.164
2019,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.16
2020,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.225
2021,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.229
2022,Business R&D expenditure,PRT,Portugal,Information industries (ISIC 26+58-63),Share of GDP,0.242
2005,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.016
2006,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.016
2007,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.016
2008,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.006
2009,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.005
2010,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.011
2011,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.012
2012,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.047
2013,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.048
2014,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.046
2015,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.055
2016,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.059
