Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2005,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.182
2006,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.206
2007,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.205
2008,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.195
2009,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.186
2010,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.172
2011,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.159
2012,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.115
2013,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.129
2014,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.082
2015,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.075
2016,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.073
2017,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.07
2018,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.066
2019,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of GDP,0.06
2005,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,17.456
2006,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,17.725
2007,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,16.062
2008,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.208
2009,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,14.454
2010,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.589
2011,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,13.022
2012,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,9.552
2013,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,10.927
2014,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,7.477
2015,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,7.48
2016,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,7.517
2017,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,7.429
2018,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,7.088
2019,Business R&D expenditure,AUS,Australia,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,6.576
2005,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.21
2006,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.437
2007,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.472
2008,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.502
2009,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.512
2010,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.508
2011,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.505
2012,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.463
2013,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.473
2014,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.344
2015,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.346
2016,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.338
2017,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.319
2018,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.314
2019,Business R&D expenditure,AUS,Australia,High digital-intensive industries,Share of GDP,0.316
